pcap,window_start,src,flows_total,pkts_out,pkts_in,bytes_out,bytes_in,tcp_flows,udp_flows,unique_dst_ports,unique_dst_ips,mean_flow_duration,p95_flow_duration,mean_packets_per_flow,p95_packets_per_flow,syn_count,rst_count,entropy_dst_port,entropy_dst_ip,rst_per_syn,label
benign.pcap,1769177850.0,108.177.119.95,1,12,12,8807,5731,0,1,1,1,0.29711222648620605,0.29711222648620605,24.0,24.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177850.0,108.177.96.102,1,16,16,8943,6266,0,1,1,1,0.3745419979095459,0.3745419979095459,32.0,32.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177850.0,149.154.167.50,1,1,2,66,132,1,0,1,1,0.2193460464477539,0.2193460464477539,3.0,3.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177850.0,192.168.1.1,2,2,2,523,176,0,2,2,1,0.21805310249328613,0.347195029258728,2.0,2.0,0,0,1.0,-0.0,0.0,0
benign.pcap,1769177850.0,192.168.1.126,1,8,1,7890,74,1,0,1,1,3.993340015411377,3.993340015411377,9.0,9.0,2,0,-0.0,-0.0,0.0,0
benign.pcap,1769177853.0,149.154.167.50,1,1,4,74,738,1,0,1,1,0.3160591125488281,0.3160591125488281,5.0,5.0,2,1,-0.0,-0.0,0.3333333333333333,0
benign.pcap,1769177853.0,162.159.200.1,1,1,1,90,90,0,1,1,1,0.022825956344604492,0.022825956344604492,2.0,2.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177853.0,192.168.1.1,1,1,1,111,79,0,1,1,1,0.07573103904724121,0.07573103904724121,2.0,2.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177859.0,192.168.1.77,1,3,4,234,240,1,0,1,1,0.4005560874938965,0.4005560874938965,7.0,7.0,0,2,-0.0,-0.0,2.0,0
benign.pcap,1769177862.0,192.168.1.135,1,2,3,161,241,1,0,1,1,8.986489057540894,8.986489057540894,5.0,5.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177868.0,192.168.1.1,1,1,1,142,94,0,1,1,1,0.07603311538696289,0.07603311538696289,2.0,2.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177868.0,192.168.1.135,1,2,3,161,241,1,0,1,1,8.990350008010864,8.990350008010864,5.0,5.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177871.0,185.26.182.94,1,4,3,4468,620,1,0,1,1,0.21470999717712402,0.21470999717712402,7.0,7.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177871.0,192.168.1.1,1,1,0,59,0,0,1,1,1,0.0,0.0,1.0,1.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177871.0,192.168.1.135,1,1,1,60,54,1,0,1,1,0.023723125457763672,0.023723125457763672,2.0,2.0,0,1,-0.0,-0.0,1.0,0
benign.pcap,1769177877.0,192.168.1.135,1,1,1,60,78,1,0,1,1,0.037232160568237305,0.037232160568237305,2.0,2.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177883.0,192.168.1.135,1,1,1,60,66,1,0,1,1,0.06919288635253906,0.06919288635253906,2.0,2.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177892.0,116.202.233.126,1,3,2,241,161,1,0,1,1,8.998104095458984,8.998104095458984,5.0,5.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177892.0,192.168.1.135,2,239,240,34321,28482,1,1,2,2,86.37925040721893,164.09183171987533,239.5,453.25,0,0,1.0,1.0,0.0,0
benign.pcap,1769177898.0,101.43.180.146,1,1,2,102,204,1,0,1,1,0.3269779682159424,0.3269779682159424,3.0,3.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177898.0,108.177.127.188,1,2,2,158,160,1,0,1,1,0.3445761203765869,0.3445761203765869,4.0,4.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177898.0,116.202.233.126,1,3,2,241,161,1,0,1,1,9.178777933120728,9.178777933120728,5.0,5.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177898.0,162.254.198.68,1,12,12,792,1440,1,0,1,1,298.3861699104309,298.3861699104309,24.0,24.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177898.0,192.168.1.135,2,67,72,13353,6557,1,1,2,2,293.7963855266571,293.98665328025817,69.5,97.85,0,0,1.0,1.0,0.0,0
benign.pcap,1769177901.0,142.250.74.142,1,16,17,7765,12001,0,1,1,1,0.24800491333007812,0.24800491333007812,33.0,33.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177901.0,157.240.205.142,1,0,1,0,54,1,0,1,1,0.0,0.0,1.0,1.0,0,1,-0.0,-0.0,1.0,0
benign.pcap,1769177901.0,172.64.41.5,1,12,11,6707,5519,0,1,1,1,0.10580611228942871,0.10580611228942871,23.0,23.0,0,0,-0.0,-0.0,0.0,0
